id,eidos_koinotitas,onoma_dimotikis_enotitas,eidos_neou_ota,onoma_neou_ota,perifereiaki_enotita,perifereia
69,ΔΗΜ. ΚΟΙΝΟΤ,ΜΕΝΕΜΕΝΗΣ,ΔΗΜΟΣ,ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
70,ΔΗΜ. ΚΟΙΝΟΤ,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,ΔΗΜΟΣ,ΒΟΛΒΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
71,ΔΗΜ. ΚΟΙΝΟΤ,ΑΠΟΛΛΩΝΙΑΣ,ΔΗΜΟΣ,ΒΟΛΒΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
72,ΤΟΠ. ΚΟΙΝΟΤ,ΑΡΕΘΟΥΣΑΣ,ΔΗΜΟΣ,ΒΟΛΒΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
73,ΤΟΠ. ΚΟΙΝΟΤ,ΕΓΝΑΤΙΑΣ,ΔΗΜΟΣ,ΒΟΛΒΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
74,ΤΟΠ. ΚΟΙΝΟΤ,ΜΑΔΥΤΟΥ,ΔΗΜΟΣ,ΒΟΛΒΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
75,ΔΗΜ. ΚΟΙΝΟΤ,ΡΕΝΤΙΝΑΣ,ΔΗΜΟΣ,ΒΟΛΒΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
76,ΔΗΜ. ΚΟΙΝΟΤ,ΑΞΙΟΥ,ΔΗΜΟΣ,ΔΕΛΤΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
77,ΔΗΜ. ΚΟΙΝΟΤ,ΕΧΕΔΩΡΟΥ,ΔΗΜΟΣ,ΔΕΛΤΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
78,ΔΗΜ. ΚΟΙΝΟΤ,ΧΑΛΑΣΤΡΑΣ,ΔΗΜΟΣ,ΔΕΛΤΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
